"","Group.1","Group.2","Group.3","weight_count"
"8107",1304,"Butch Cassidy and the Sundance Kid (1969)","Western",4.84799154334038
"7105",1283,"High Noon (1952)","Western",4.80545905707196
"4108",1201,"Good, The Bad and The Ugly, The (1966)","Western",4.75389294403893
"6107",1266,"Unforgiven (1992)","Western",4.70381143430291
"4723",3671,"Blazing Saddles (1974)","Western",4.65446827524575
"3018",3037,"Little Big Man (1970)","Western",4.65059221658206
"4224",3508,"Outlaw Josey Wales, The (1976)","Western",4.65041095890411
"2625",2951,"Fistful of Dollars, A (1964)","Western",4.5933908045977
"6217",590,"Dances with Wolves (1990)","Western",4.50251550654721
"6118",553,"Tombstone (1993)","Western",4.45443037974684
"2928",3030,"Yojimbo (1961)","Western",4.4046511627907
"6317",599,"Wild Bunch, The (1969)","Western",4.08712121212121
"3624",3365,"Searchers, The (1956)","Western",4.08571428571429
"4819",368,"Maverick (1994)","Western",4.05224438902743
"5105",1209,"Once Upon a Time in the West (1969)","Western",4.02312138728324
"3927",3467,"Hud (1963)","Western",4.02150537634409
"2139",266,"Legends of the Fall (1994)","Western",3.93936170212766
"2029",2527,"Westworld (1973)","Western",3.93459119496855
"9106",1378,"Young Guns (1988)","Western",3.930871886121
"4917",3681,"For a Few Dollars More (1965)","Western",3.91692307692308
"6418",714,"Dead Man (1995)","Western",3.88888888888889
"2428",2921,"High Plains Drifter (1972)","Western",3.88328075709779
"5519",3871,"Shane (1953)","Western",3.83934426229508
"3128",3074,"Jeremiah Johnson (1972)","Western",3.78828828828829
"1729",2401,"Pale Rider (1985)","Western",3.76923076923077
"2526",2922,"Hang 'em High (1967)","Western",3.74688796680498
"4130",3494,"True Grit (1969)","Western",3.7375
"1359",2012,"Back to the Future Part III (1990)","Western",3.72848432055749
"3224",3093,"McCabe & Mrs. Miller (1971)","Western",3.69711538461538
"5016",3682,"Magnum Force (1973)","Western",3.69047619047619
"5616",3873,"Cat Ballou (1965)","Western",3.66785714285714
"1930",2478,"Three Amigos! (1986)","Western",3.58541300527241
"2830",303,"Quick and the Dead, The (1995)","Western",3.42248803827751
"10104",1379,"Young Guns II (1990)","Western",3.3440379403794
"5420",383,"Wyatt Earp (1994)","Western",3.26666666666667
"1300",1007,"Apple Dumpling Gang, The (1975)","Western",2.97844827586207
